proveedor,algoritmo,k_o_grupos,silueta_gower,davies_bouldin,calinski_harabasz,n_grupos,pct_ruido,ari_vs_modalidad,ari_vs_cuartil_presupuesto,entropia_tamanos,cobertura,base_aleatoria,base_modalidad,descalificado,motivos_descalificacion,segundos,notas
P1,K-Prototypes,3,0.3483756482601166,1.0070845283438121,952.96100445017,3,0.0,-0.07459180965429422,0.00040419677786375963,0.4240851379124511,100.0,-0.004609484225511551,0.13246825337409973,True,entropía de tamaños 0.424 < 0.5,23.29,gamma=0.5000
P1,K-Prototypes,4,0.21527764201164246,1.4083801878952869,924.0658777596353,4,0.0,-0.017287774377179134,0.2335501076375165,0.7459197353978815,100.0,-0.010797911323606968,0.13246825337409973,False,,18.03,gamma=0.5000
P1,K-Prototypes,5,0.28359532356262207,1.2099864084632612,1010.6077979794471,5,0.0,-0.04879166585166534,0.0063970321829190996,0.7687594140152731,100.0,-0.016186680644750595,0.13246825337409973,False,,14.81,gamma=0.5000
P1,K-Prototypes,6,0.25121623277664185,1.1287621252555182,1027.3169385096012,6,0.0,-0.011379341087587189,0.17590330847046842,0.8644823795191059,100.0,-0.019253533333539963,0.13246825337409973,False,,14.93,gamma=0.5000
P1,K-Prototypes,7,0.24994002282619476,1.1785800604387409,965.2431757302471,7,0.0,-0.01832780319137717,0.1643108741251958,0.8262028108347478,100.0,-0.03707246109843254,0.13246825337409973,False,,16.88,gamma=0.5000
P1,K-Prototypes,8,0.2259182184934616,1.2249844930413585,922.1667795896043,8,0.0,-0.01267164155696315,0.1880815337098924,0.8775579731647464,100.0,-0.021642623469233513,0.13246825337409973,False,,16.08,gamma=0.5000
P1,K-Prototypes,9,0.2244880646467209,1.144055310686172,881.9812593423247,9,0.0,-0.012883311137742794,0.17454366745518185,0.8467560522322274,100.0,-0.02815980464220047,0.13246825337409973,False,,21.91,gamma=0.5000
P1,K-Prototypes,10,0.23089225590229034,1.1339760221527966,851.8685770161372,10,0.0,-0.006817055724431476,0.16186762685931025,0.8347694508771993,100.0,-0.03330785036087036,0.13246825337409973,False,,20.74,gamma=0.5000
P1,K-Means,3,0.34861263632774353,1.0020355692212632,952.9549825942017,3,0.0,-0.07575793351351978,0.00042286447301024903,0.4224559957791064,100.0,-0.004609484225511551,0.13246825337409973,True,entropía de tamaños 0.422 < 0.5,1.7,
P1,K-Means,4,0.38266903162002563,0.9741995294357025,966.2643059795164,4,0.0,-0.09309425821696699,0.0007121785894642364,0.49714636659663086,100.0,-0.010797911323606968,0.13246825337409973,True,entropía de tamaños 0.497 < 0.5,0.05,
