Algoritmo,k usado/obtenido,Silueta (Gower),Davies-Bouldin,Calinski-Harabasz,Cobertura,ARI,ARI desv.,n evaluados (silueta),Nota
K-Prototypes,3,0.20223665237426758,1.4750806976697437,4252.909854619917,100.0,0.9881175370472002,0.005242528010826462,13848,gamma auto=0.5000; init=Cao
K-Means,5,0.2155517339706421,1.0099803562510232,3902.4953869091355,100.0,0.7375911930747244,0.22174292583821564,13848,one-hot modalidad; k-means++; n_init=10
Jerárquico (promedio),3,0.39867493510246277,1.015613414778388,860.246144808684,100.0,0.9997305287539794,0.0011745979295936491,13848,Gower precomputada; enlace promedio
K-Medoids (PAM),10,0.5202310681343079,2.2549781671001576,1159.0982730078804,100.0,0.9921117733274226,0.004228616085886566,13848,BUILD + alternante; medoides = procesos reales
DBSCAN,17,0.5806607007980347,1.6870341552131691,1123.5720284788474,84.50317735413056,0.9573909942723615,0.004170375882995923,11702,"eps=0.015 (k-dist), min_samples=20; k es SALIDA; silueta medida sobre el subconjunto sin ruido (11,702/13,848 procesos)"
GMM,10,0.4439205825328827,2.1935230329602624,1875.490406024434,100.0,0.7866867833861587,0.06797109100009456,13848,"covarianza completa; k por BIC (min BIC=-1,678,975); reg_covar=1e-4"
