Grupo,Procesos,Similitud semántica,Coincid. CPC,Desv. presupuesto,Distancia (km),Modalidad dominante,Lectura de negocio
0,1082,0.00634386332795881,0.014012102869854952,2.4128742585533574,167.40928743525183,Cotización,
1,363,0.006172730994627712,0.0,0.5120502534050078,217.86657214966,Licitación de Seguros,
2,1891,0.0038365776668173677,0.007615018508725542,0.14791370161332684,187.84733833248475,Menor Cuantía,
3,388,0.008524434175029598,0.03823024054982818,0.5558711651546892,143.22121198294883,Contratos entre Entidades Públicas o sus subsidiarias,
4,351,0.004242558321742211,0.0034188034188034192,-1.6346406433273084,218.05965987843362,Comunicación Social – Contratación Directa,
5,553,0.01436970296055832,0.07203134418324292,-0.1886187032459259,124.06020427981782,Bienes y Servicios únicos,
6,2257,0.0996090627685112,0.9961896322552061,0.24693840388797583,190.73754730938143,Subasta Inversa Electrónica,
7,2986,0.006362330647871945,0.00010046885465505695,0.18308876829690998,184.4644224561747,Subasta Inversa Electrónica,
8,1016,0.006325680776101095,0.00019685039370078743,-0.7788376881356893,208.3734996104355,Contratacion directa,
9,2961,0.009588204634297215,0.25482382078126764,0.24941288886971139,174.8449271788778,Subasta Inversa Electrónica,
