proveedor,algoritmo,k_o_grupos,silueta_gower,davies_bouldin,calinski_harabasz,n_grupos,pct_ruido,ari_vs_modalidad,ari_vs_cuartil_presupuesto,entropia_tamanos,cobertura,base_aleatoria,base_modalidad,descalificado,motivos_descalificacion,segundos,notas
P1,K-Prototypes,3,0.2705421447753906,1.439283039838754,852.1043929456722,3,0.0,0.10399544874297631,0.3606581689067766,0.7942642976560204,100.0,-0.0070898691192269325,0.24136938154697418,False,,11.77,gamma=0.4286
P1,K-Prototypes,4,0.26999369263648987,1.251366485930237,836.343160731857,4,0.0,0.08243973247278187,0.3488792900150893,0.7412818226274801,100.0,-0.01165796909481287,0.24136938154697418,False,,10.25,gamma=0.4286
P1,K-Prototypes,5,0.2527117431163788,1.2765199734107489,842.8957850792116,5,0.0,0.06604086390121465,0.21571574369330573,0.8714732912247791,100.0,-0.011090760119259357,0.24136938154697418,False,,12.91,gamma=0.4286
P1,K-Prototypes,6,0.24646331369876862,1.1717916009174878,867.8044609164638,6,0.0,0.06914154531890941,0.19858490996867229,0.8873423153526517,100.0,-0.0193904060870409,0.24136938154697418,False,,16.11,gamma=0.4286
P1,K-Prototypes,7,0.22445587813854218,1.197337734095506,835.7995346130645,7,0.0,0.06256659161462354,0.2557020787740502,0.924891341178506,100.0,-0.02152460440993309,0.24136938154697418,True,no supera la línea base modalidad (0.2245 <= 0.2414),16.13,gamma=0.4286
P1,K-Prototypes,8,0.2270963490009308,1.200882980535124,806.4092228438125,8,0.0,0.05668030921696228,0.21272391068977967,0.93457555663966,100.0,-0.027277257293462753,0.24136938154697418,True,no supera la línea base modalidad (0.2271 <= 0.2414),16.25,gamma=0.4286
P1,K-Prototypes,9,0.21873700618743896,1.2331746053059722,762.9371263901095,9,0.0,0.053406702912159244,0.2529724537241499,0.9322548458521613,100.0,-0.033821944147348404,0.24136938154697418,True,no supera la línea base modalidad (0.2187 <= 0.2414),16.54,gamma=0.4286
P1,K-Prototypes,10,0.22008125483989716,1.2496329226603577,717.2861964143899,10,0.0,0.05185898977000461,0.2063172915550275,0.9117533844743873,100.0,-0.03887693211436272,0.24136938154697418,True,no supera la línea base modalidad (0.2201 <= 0.2414),17.32,gamma=0.4286
P1,K-Means,3,0.2705664336681366,1.4391858385759908,852.1698944781169,3,0.0,0.10436233139362697,0.3606581689067766,0.7942642976560204,100.0,-0.0070898691192269325,0.24136938154697418,False,,1.46,
P1,K-Means,4,0.27151045203208923,1.2488996833270032,836.7035542497287,4,0.0,0.08281262360037016,0.34108374115610235,0.738886689888995,100.0,-0.01165796909481287,0.24136938154697418,False,,0.03,
P1,K-Means,5,0.2545739412307739,1.2760615610284625,843.526254182414,5,0.0,0.06662097112619796,0.21674933818971956,0.8696311645926643,100.0,-0.011090760119259357,0.24136938154697418,False,,0.03,
P1,K-Means,6,0.24809090793132782,1.168156755463542,868.3067805031347,6,0.0,0.07105477622522019,0.19765169369786967,0.8850742652920004,100.0,-0.0193904060870409,0.24136938154697418,False,,0.05,
P1,K-Means,7,0.23042161762714386,1.1937184710597002,837.0686391889307,7,0.0,0.06627365567134935,0.22304882149503422,0.9155789818768499,100.0,-0.02152460440993309,0.24136938154697418,True,no supera la línea base modalidad (0.2304 <= 0.2414),0.04,
P1,K-Means,8,0.2297450304031372,1.1970304943743344,807.1627502865508,8,0.0,0.05964712859897869,0.21334210638156745,0.9337794098832176,100.0,-0.027277257293462753,0.24136938154697418,True,no supera la línea base modalidad (0.2297 <= 0.2414),0.05,
P1,K-Means,9,0.23053161799907684,1.197219900839256,762.0796378078446,9,0.0,0.05903356925760235,0.21594711001245154,0.907169155896279,100.0,-0.033821944147348404,0.24136938154697418,True,no supera la línea base modalidad (0.2305 <= 0.2414),0.07,
P1,K-Means,10,0.2234269380569458,1.2309758108476165,734.6318433608686,10,0.0,0.05522101290894074,0.2540580194372476,0.9131074939850046,100.0,-0.03887693211436272,0.24136938154697418,True,no supera la línea base modalidad (0.2234 <= 0.2414),0.05,
P1,Jerárquico (average),3,0.48280078172683716,0.5371387960270515,12.563722286457256,3,0.0,0.0016656014494932326,-5.927903648465883e-07,0.007776873942384936,100.0,-0.0070898691192269325,0.24136938154697418,True,entropía de tamaños 0.008 < 0.5,0.22,
P1,Jerárquico (average),4,0.5065440535545349,0.6373722632951588,264.1006453607929,4,0.0,0.142004722264854,0.01383897023855423,0.17960516488023384,100.0,-0.01165796909481287,0.24136938154697418,True,entropía de tamaños 0.180 < 0.5,0.18,
P1,Jerárquico (average),5,0.4741644561290741,0.48072578301100954,198.66043399529698,5,0.0,0.14200499415657308,0.01383913375850882,0.15499058615102904,100.0,-0.011090760119259357,0.24136938154697418,True,entropía de tamaños 0.155 < 0.5,0.17,
P1,Jerárquico (average),6,0.3629166781902313,0.6751449521742127,253.9733648611622,6,0.0,0.1726239120227714,0.04066434298723601,0.25176547413862704,100.0,-0.0193904060870409,0.24136938154697418,True,entropía de tamaños 0.252 < 0.5,0.28,
P1,Jerárquico (average),7,0.28415435552597046,0.7783442439996703,246.01697881730456,7,0.0,0.22737737256737356,0.04043596662940842,0.29266255709958505,100.0,-0.02152460440993309,0.24136938154697418,True,entropía de tamaños 0.293 < 0.5,0.18,
P1,Jerárquico (average),8,0.2549673914909363,0.8226854185467469,258.193045597092,8,0.0,0.2289404002336014,0.03819119101013275,0.33900864297085703,100.0,-0.027277257293462753,0.24136938154697418,True,entropía de tamaños 0.339 < 0.5,0.2,
P1,Jerárquico (average),9,0.24585451185703278,0.8051454218678182,231.6506831478731,9,0.0,0.22829356215135052,0.0382535590725435,0.3254118007987625,100.0,-0.033821944147348404,0.24136938154697418,True,entropía de tamaños 0.325 < 0.5,0.17,
P1,Jerárquico (average),10,0.1917767971754074,0.8782207405513258,208.79678155907476,10,0.0,0.23672911809951108,0.037935720898417666,0.32150949231786785,100.0,-0.03887693211436272,0.24136938154697418,True,no supera la línea base modalidad (0.1918 <= 0.2414); entropía de tamaños 0.322 < 0.5,0.16,
P1,K-Medoids (PAM),3,0.2466752976179123,1.7545407101365107,652.0664916854637,3,0.0,0.09525927953251181,0.015332430420883109,0.8093234567149451,100.0,-0.0070898691192269325,0.24136938154697418,False,,0.12,FasterPAM
P1,K-Medoids (PAM),4,0.23621077835559845,1.549605144720611,667.0724417493662,4,0.0,0.0822015173255346,0.18847098210044844,0.8995120362849203,100.0,-0.01165796909481287,0.24136938154697418,True,no supera la línea base modalidad (0.2362 <= 0.2414),0.11,FasterPAM
P1,K-Medoids (PAM),5,0.23108643293380737,1.6594617648215522,646.0286034700097,5,0.0,0.06949567548568782,0.2786361983259389,0.944588554367296,100.0,-0.011090760119259357,0.24136938154697418,True,no supera la línea base modalidad (0.2311 <= 0.2414),0.1,FasterPAM
P1,K-Medoids (PAM),6,0.2295209914445877,1.9172181628541305,536.9478189949451,6,0.0,0.1723362173242357,0.20885280726300354,0.9667155903752994,100.0,-0.0193904060870409,0.24136938154697418,True,no supera la línea base modalidad (0.2295 <= 0.2414),0.12,FasterPAM
P1,K-Medoids (PAM),7,0.21652527153491974,1.7757891091734244,504.37540871719085,7,0.0,0.15040127553628332,0.28117449536948724,0.9745407282433548,100.0,-0.02152460440993309,0.24136938154697418,True,no supera la línea base modalidad (0.2165 <= 0.2414),0.11,FasterPAM
P1,K-Medoids (PAM),8,0.22231425344944,1.6728208617388838,480.3599138517424,8,0.0,0.1574133147913056,0.26715910314848085,0.9514555868092408,100.0,-0.027277257293462753,0.24136938154697418,True,no supera la línea base modalidad (0.2223 <= 0.2414),0.16,FasterPAM
P1,K-Medoids (PAM),9,0.21928685903549194,1.7519965052195114,442.63701120265654,9,0.0,0.18499648495441814,0.25177199888978447,0.959014659287302,100.0,-0.033821944147348404,0.24136938154697418,True,no supera la línea base modalidad (0.2193 <= 0.2414),0.13,FasterPAM
P1,K-Medoids (PAM),10,0.22327668964862823,1.6017879655730383,456.2747340073283,10,0.0,0.15995175203960918,0.21555902228504223,0.9492865159124687,100.0,-0.03887693211436272,0.24136938154697418,True,no supera la línea base modalidad (0.2233 <= 0.2414),0.12,FasterPAM
P1,DBSCAN/HDBSCAN,2,0.5337626338005066,0.7896240626726243,763.8852211481582,2,0.13333333333333333,0.1408737106687693,0.01394092783408786,0.347315003232494,99.86666666666666,-6.127339293016121e-05,0.24136938154697418,True,entropía de tamaños 0.347 < 0.5,0.0,HDBSCAN(paquete hdbscan) mcs=30
P1,Gaussian Mixture,3,0.25210458040237427,2.2510629945112224,504.7131612386461,3,0.0,0.2810593618848748,0.029433464911661357,0.570502441802681,100.0,-0.0070898691192269325,0.24136938154697418,False,,0.04,"BIC=-249,087"
P1,Gaussian Mixture,4,0.19276916980743408,2.3439527186162827,388.7692187695934,4,0.0,0.3935672404832064,0.031147587321148466,0.6922283601266892,100.0,-0.01165796909481287,0.24136938154697418,True,no supera la línea base modalidad (0.1928 <= 0.2414),0.05,"BIC=-313,530"
P1,Gaussian Mixture,5,0.20052990317344666,2.299108353826476,341.2141584603973,5,0.0,0.6371989407943596,0.02768082759469609,0.7976557650712052,100.0,-0.011090760119259357,0.24136938154697418,True,no supera la línea base modalidad (0.2005 <= 0.2414),0.12,"BIC=-347,751"
